Name,Sr_No,Nationality,PD,Gender,Competition,Result,TimePoint_Label,Happy,Sad,Angry,Surprised,Scared,Disgusted,Valence,Arousal,Neutral,Sighted_Blind,Group,Athlete_Code,PD_Code,SB_Code,Result_Code
Alexandra Popp (11),772,GER,Low,Female,Olympic,Win,Pre,5.601082892474286e-05,0.05842512085737143,0.001523814220914286,0.0001303369070942857,5.959388742e-05,0.00019059941706,-0.05849922538185715,0.3874616122857142,0.7529664562857143,Sighted,Low PD – Sighted,24,0,0,1
Cata Coll (13),773,ESP,High,Female,Olympic,Loss,Pre,5.500832934666668e-06,0.08587834593333335,0.1693397584666667,7.812355528266667e-06,0.00015832360864,0.003932283428,-0.1852615295333333,0.472699574,0.5131595813333333,Sighted,High PD – Sighted,104,1,0,0
Ona Batlle (2),774,ESP,High,Female,Olympic,Loss,Pre,0.00081221831165,0.02917238679285714,0.0007659900450000002,4.368236124357144e-05,0.001701551547,0.09765182616285714,-0.1146043127857143,0.5342285085714286,0.7447871142857142,Sighted,High PD – Sighted,444,1,0,0
Laia Aleixandri (14),775,ESP,High,Female,Olympic,Loss,Pre,5.605417804166666e-05,0.002946615906666667,0.06316940484999999,0.0001114244838941667,7.214411608333334e-05,0.001067561158333333,-0.06311335090833334,0.5791327466666666,0.9603835825,Sighted,High PD – Sighted,308,1,0,0
Oihane Hernandez (3),776,ESP,High,Female,Olympic,Loss,Pre,0.0,0.002160742138,0.06764883984,0.0,2.08241964e-07,2.04671813552e-06,-0.06764883984,0.4574737768,0.8009128868000001,Sighted,High PD – Sighted,437,1,0,0
Teresa Abelleira (3),777,ESP,High,Female,Olympic,Loss,Pre,0.0,4.983735002727273e-05,0.0001175903108636364,0.0,0.0,0.0,-0.0001628780600090909,0.3241841986363637,0.8742016831818181,Sighted,High PD – Sighted,554,1,0,0
Aitana Bonmati (6),778,ESP,High,Female,Olympic,Loss,Pre,0.00138006189421375,0.04217343931250001,0.04200356903125,5.34568226875e-07,3.1059446515625e-05,0.00199396046933125,-0.05097960931249999,0.379375114375,0.784152306875,Sighted,High PD – Sighted,13,1,0,0
Alexia Putellas (11),779,ESP,High,Female,Olympic,Loss,Pre,0.00228293689384375,0.013679618778125,0.020457557639375,0.033725401244375,0.0011790284953125,0.003042626117875,-0.019668490081875,0.445875920625,0.84155151625,Sighted,High PD – Sighted,26,1,0,0
Jenni Hermoso (10),780,ESP,High,Female,Olympic,Loss,Pre,1.753970469454545e-05,0.001922583804,0.0,0.0,0.0,0.0001190075260454545,-0.001905044105818182,0.2944206045454545,0.8424616945454545,Sighted,High PD – Sighted,260,1,0,0
Sala Paralluelo (9),781,ESP,High,Female,Olympic,Loss,Pre,4.523454384615385e-07,4.319107692307692e-06,0.0,1.906176715384615e-07,0.0,0.0,-3.866762192307692e-06,0.2717575007692308,0.9999886576923077,Sighted,High PD – Sighted,498,1,0,0
Arnau Tenas (1),782,ESP,High,Male,Olympic,Win,Pre,2.85633478e-05,0.00371322752,0.00010367882373,1.88436651e-05,0.0002973726519,0.0004067403763999999,-0.00368466411,0.310430404,0.99787395,Sighted,High PD – Sighted,67,1,0,1
Juan Miranda (3),784,ESP,High,Male,Olympic,Win,Pre,7.153565654545454e-05,0.1655867696363636,0.5227036327272727,2.347141881818182e-05,0.001326378002727273,0.01868626248181818,-0.5226320981818181,0.6140534827272727,0.2418133827272727,Sighted,High PD – Sighted,279,1,0,1
Eric Garcia (4),785,ESP,High,Male,Olympic,Win,Pre,2.556973131621875e-05,0.03695308451775937,0.11512542205625,3.353543604375e-05,3.5399896134375e-05,0.07206356517646875,-0.180352743303125,0.4283221790625,0.7605856825,Sighted,High PD – Sighted,166,1,0,1
Pau Cubarsi (5),786,ESP,High,Male,Olympic,Win,Pre,0.005416275625,0.08585867775,0.1541665225,0.0014628506875,0.0031373164,0.06840074075,-0.14875024625,0.2801995475,0.6879289975,Sighted,High PD – Sighted,456,1,0,1
Pablo Barrios (6),787,ESP,High,Male,Olympic,Win,Pre,0.009784428082799999,0.08846737299999999,0.06873366299999999,0.00023563705286,8.27640125e-05,0.0882914018,-0.127011962,0.3831459700000001,0.463411378,Sighted,High PD – Sighted,454,1,0,1
Abel Ruiz (9),788,ESP,High,Male,Olympic,Win,Pre,6.6573261275e-05,0.01191447890833333,6.135572877499999e-06,0.0006800189733333333,0.0002010693125,0.0,-0.011847905575,0.304705735,0.9902797308333334,Sighted,High PD – Sighted,3,1,0,1
Alex Baena (10),789,ESP,High,Male,Olympic,Win,Pre,0.02535750346363636,0.06816463958181819,0.05214209745454545,6.202353088181817e-05,0.003786989579090909,0.03053681831181819,-0.07923982172727273,0.3682839890909091,0.7186866063636363,Sighted,High PD – Sighted,21,1,0,1
Fermin Lopez (11),790,ESP,High,Male,Olympic,Win,Pre,0.003208363819999999,0.4505991833333334,0.001838567025,4.391592333333333e-05,5.930484849666667e-05,0.01263554883333334,-0.447390825,0.30517899,0.4450154475,Sighted,High PD – Sighted,183,1,0,1
Aimar Oroz (14),791,ESP,High,Male,Olympic,Win,Pre,0.0002026366927647059,0.01681397874572706,0.5711324744117647,0.0001812730067117647,0.0004822765777082352,0.003519656657294117,-0.5709298391176469,0.3925313111764707,0.3973725829411764,Sighted,High PD – Sighted,12,1,0,1
Sergio Gomez (17),792,ESP,High,Male,Olympic,Win,Pre,5.76155785e-06,0.08708642683333333,0.3284439516666667,9.34915e-07,0.0,0.00022131293,-0.3284381891666666,0.5841746066666667,0.3629492233333333,Sighted,High PD – Sighted,511,1,0,1
Castello Lukeba (2),794,FRA,High,Male,Olympic,Loss,Pre,6.390566e-07,0.001589363707,0.0804388762,5.320195610000001e-07,0.002074035815999999,0.491000582,-0.4909999409999999,0.7258128019999999,0.239161106,Sighted,High PD – Sighted,103,1,0,0
